385, -23, 966
385, -23, 966
354, 15, 937
297, 24, 968
238, 46, 986
238, 46, 986
189, 50, 1015
126, 78, 1003
48, 121, 959
-15, 114, 960
-15, 114, 960
-40, 103, 1039
-39, 94, 1031
-30, 120, 1053
-15, 142, 990
-26, 137, 1046
-21, 114, 1056
-21, 114, 1056
-7, 61, 1060
-11, 63, 1044
-35, 78, 1076
-55, 182, 1067
-44, 173, 1029
-44, 173, 1029
-34, 78, 1009
-50, 81, 978
-65, 113, 960
-67, 87, 954
-55, 63, 950
-55, 63, 950
-55, 37, 957
-67, 81, 963
-72, 97, 964
-72, 97, 964
-72, 93, 987
-74, 98, 1017
-79, 81, 1019
-85, 58, 1019
-85, 58, 1019
-79, 67, 1021
-74, 99, 1062
-,-,-
83, -47, 957
117, -48, 976
178, 31, 1064
178, 31, 1064
190, 25, 1132
260, -24, 1051
284, -23, 933
315, -32, 946
320, -37, 1002
320, -37, 1002
315, -20, 952
275, 19, 966
232, 30, 974
190, 57, 1021
190, 57, 1021
156, 60, 1056
117, 126, 1051
54, 144, 1047
9, 136, 1061
0, 121, 1034
0, 121, 1034
-1, 102, 1023
5, 113, 952
-2, 124, 949
-2, 124, 949
-5, 137, 964
2, 51, 1004
12, 45, 990
12, 45, 990
6, 95, 959
-4, 125, 968
-4, 125, 968
-9, 113, 975
-22, 102, 993
-43, 108, 1003
-91, 113, 962
-91, 113, 962
-120, 66, 911
-130, 49, 868
-151, 104, 927
-166, 119, 961
-200, 112, 1001
-228, 88, 1023
-269, -48, 1158
-,-,-
-19, -52, 1004
31, -105, 1072
85, -90, 1055
160, -75, 1045
160, -75, 1045
204, -88, 1051
237, -49, 1106
299, -38, 1071
337, -18, 1026
358, 20, 982
335, 27, 977
335, 27, 977
314, 13, 980
255, 40, 954
196, 107, 942
196, 107, 942
138, 94, 933
63, 92, 945
12, 97, 885
12, 97, 885
-9, 108, 914
-23, 73, 985
-38, 56, 1029
-38, 56, 1029
-50, 70, 1023
-51, 63, 1045
-46, 31, 1040
-48, 53, 1055
-51, 87, 1067
-51, 87, 1067
-72, 110, 1081
-78, 99, 1052
-81, 59, 997
-93, 32, 1012
-115, 16, 1011
-115, 16, 1011
-121, 16, 960
-119, 86, 942
-125, 107, 981
-143, 53, 1044
-136, 39, 1030
-122, 46, 1010
-122, 46, 1010
-120, 45, 1068
-121, 65, 1110
-119, 49, 1136
-,-,-
51, -82, 979
51, -82, 979
76, -94, 999
121, -109, 1005
181, -39, 1065
185, -48, 1134
208, -30, 1107
234, -32, 990
234, -32, 990
237, -52, 985
223, -34, 984
185, -8, 960
164, -4, 975
164, -4, 975
164, -9, 994
156, 10, 1034
118, -7, 1038
79, 32, 1000
79, 32, 1000
65, 0, 1006
70, 2, 1034
70, 2, 1034
73, -26, 1028
40, 13, 981
6, 37, 931
6, 37, 931
-5, 32, 926
-10, -36, 980
-13, -44, 957
-13, -44, 957
-28, -19, 947
-44, -9, 960
-49, -10, 988
-58, -42, 1053
-58, -42, 1053
-76, -6, 1050
-92, 17, 1022
-105, -9, 1009
-106, -39, 1023
-105, -17, 1045
-99, 2, 1006
-97, 25, 1004
-97, 25, 1004
-101, 34, 1012
-108, 29, 1074
-101, 24, 1095
-93, 8, 1060
-95, -7, 1050
-95, -7, 1050
-87, -21, 1047
-78, -26, 1049
-80, -26, 1081
-97, -20, 1080
-,-,-
21, -104, 1071
50, -110, 1007
109, -127, 951
109, -127, 951
144, -76, 964
150, -63, 1067
185, -66, 1044
222, -85, 980
253, -68, 961
244, 1, 1012
244, 1, 1012
223, 2, 1028
218, -15, 994
226, -43, 962
226, -43, 962
209, -33, 950
157, -16, 953
105, -51, 1010
75, -40, 1000
53, 30, 1007
53, 30, 1007
-4, 16, 1059
-63, 16, 1037
-84, -18, 997
-86, -29, 975
-86, -29, 975
-86, -27, 1022
-76, -16, 1069
-60, -39, 1062
-57, -22, 1021
-52, -20, 998
-57, -40, 1014
-57, -40, 1014
-68, -31, 1036
-94, 13, 980
-118, 6, 969
-128, -41, 974
-148, -55, 979
-148, -55, 979
-169, -39, 966
-177, 0, 965
-167, 8, 1037
-160, 3, 1100
-159, 10, 1076
-159, 10, 1076
-149, 7, 1086
-139, 6, 1078
-,-,-
21, -83, 1101
41, -107, 1105
89, -110, 1049
120, -94, 941
147, -53, 1048
161, -56, 1119
161, -56, 1119
189, -38, 1026
206, -60, 1013
228, -80, 1014
209, -69, 1064
238, -86, 1050
244, -78, 925
212, -53, 844
212, -53, 844
157, -9, 907
125, 42, 997
117, 50, 988
117, 50, 988
86, 12, 955
25, 7, 968
-35, 18, 1023
-35, 18, 1023
-68, 11, 1027
-78, 20, 1008
-89, 18, 999
-97, 9, 996
-97, 9, 996
-106, -12, 1026
-99, 19, 1048
-98, 41, 1007
-117, 45, 1016
-136, 64, 1030
-136, 64, 1030
-148, 54, 1037
-165, 33, 1051
-199, 45, 1048
-218, 22, 1009
-210, 20, 961
-208, 46, 983
-208, 46, 983
-207, 47, 1029
-203, 27, 1072
-176, 33, 1025
-169, 31, 1042
-155, 29, 1056
-,-,-
109, -84, 982
143, -76, 1011
207, -67, 1098
207, -67, 1098
228, -15, 1030
246, -43, 996
252, -38, 1057
253, -39, 1142
287, -15, 1073
324, 51, 983
324, 51, 983
320, 39, 947
278, 71, 921
232, 87, 926
232, 87, 926
203, 82, 953
164, 54, 908
79, 61, 893
-36, 73, 895
-36, 73, 895
-98, 37, 961
-108, -4, 1037
-86, -68, 1070
-65, -86, 1116
-65, -86, 1116
-41, -63, 1118
-15, -41, 1135
22, 34, 1172
64, 61, 1147
71, 67, 1074
71, 67, 1074
48, 78, 1023
32, 137, 1033
24, 152, 993
24, 152, 993
-4, 122, 959
-45, 78, 921
-67, 40, 888
-96, 52, 894
-96, 52, 894
-123, 28, 969
-144, -4, 998
-159, -53, 1006
-165, -74, 1056
-,-,-
133, -43, 979
165, -48, 1084
245, -3, 1199
329, 13, 1006
329, 13, 1006
343, -35, 958
351, -65, 1077
354, 25, 1133
335, 75, 1029
305, 38, 916
305, 38, 916
263, -29, 877
227, 39, 932
187, 68, 974
99, 92, 918
99, 92, 918
1, 22, 911
-26, -42, 916
-26, -42, 916
-33, -26, 957
-38, 32, 972
-108, -37, 974
-141, -41, 968
-124, -92, 989
-124, -92, 989
-94, -116, 1072
-82, 3, 1098
-98, -15, 1051
-82, -3, 1044
-71, 1, 1047
-71, 1, 1047
-72, 41, 1066
-72, 90, 1050
-64, 82, 997
-56, 49, 940
-56, 49, 940
-76, 25, 959
-111, 35, 965
-147, 8, 992
-178, -39, 993
-178, -39, 993
-203, -89, 1017
-,-,-
105, -5, 1042
123, -4, 1112
123, -4, 1112
211, -8, 1071
278, -36, 1018
275, -43, 1032
251, -30, 1063
247, 51, 1103
269, 7, 995
269, 7, 995
255, -19, 970
195, -6, 971
137, 32, 963
137, 32, 963
93, 20, 965
76, -19, 972
72, -3, 990
72, -3, 990
32, -8, 1046
-41, 8, 1025
-95, 9, 1004
-95, 9, 1004
-112, -21, 1049
-114, -51, 1068
-144, 5, 1044
-163, 40, 974
-171, -20, 924
-171, -20, 924
-160, -54, 940
-150, -8, 979
-148, 34, 982
-150, 81, 955
-148, 99, 941
-148, 99, 941
-146, 64, 953
-156, 7, 1023
-151, -16, 1061
-176, 0, 1096
-,-,-
110, -81, 1069
161, -78, 1010
216, -65, 1051
252, -69, 1012
307, -40, 985
333, 11, 1136
333, 11, 1136
311, 18, 1147
267, 27, 1052
235, -49, 988
226, -79, 929
226, -79, 929
177, -58, 900
99, -31, 907
35, 0, 928
24, 26, 996
24, 26, 996
9, 4, 1096
-34, -26, 1070
-34, -26, 1070
-63, -12, 996
-63, -3, 984
-47, 19, 982
-59, 26, 1003
-73, 29, 1013
-73, 29, 1013
-83, 15, 986
-86, 4, 985
-81, 10, 961
-81, 10, 961
-105, 11, 948
-131, 28, 952
-131, 7, 994
-124, 10, 1016
-124, 10, 1016
-132, 16, 1048
-150, 10, 1048
-159, 0, 1018
-155, -21, 1029
-156, -81, 1117
-,-,-
105, -19, 1053
142, -29, 1084
224, -21, 1044
270, -25, 1022
300, -34, 1036
315, -16, 1038
331, -4, 1009
331, -4, 1009
300, 41, 954
240, 33, 1001
208, 10, 1032
180, -3, 991
180, -3, 991
129, 23, 950
63, 67, 947
37, 48, 985
37, 48, 985
41, 76, 998
20, 66, 1044
-19, 67, 1016
-19, 67, 1016
-49, 77, 980
-45, 73, 985
-42, 70, 1038
